POI,이름,총 리뷰수,평균평점,주소,경도,위도,링크,거리
POI16,cafe지니,123,4.07,제주특별자치도 서귀포시 남원읍 신례리 85-3,126.640665,33.26487812,http://place.map.kakao.com/26320023,2.348813764
POI17,에이바우트커피뷰 토평,121,4.46,제주특별자치도 서귀포시 강정동 882-1,126.4985194,33.23684768,http://place.map.kakao.com/1434835873,1.698452538
POI17,시스터필드,407,4.40,제주특별자치도 서귀포시 강정동 231-2,126.5073524,33.24894587,http://place.map.kakao.com/1681095122,0.300600147
POI17,제니스브레드,169,4.37,제주특별자치도 서귀포시 서호동 1165-6,126.5142306,33.25866542,http://place.map.kakao.com/1105715527,1.018196689
POI17,흑돈향,211,4.29,제주특별자치도 서귀포시 호근동 1567-4,126.5292494,33.24472269,http://place.map.kakao.com/25532497,2.580566997
POI17,정이가네,417,4.27,제주특별자치도 서귀포시 서호동 1470-7,126.5111235,33.25196317,http://place.map.kakao.com/889033877,0.471691933
POI17,행복한시저네,104,4.17,제주특별자치도 서귀포시 호근동 1831-6,126.5251147,33.25670404,http://place.map.kakao.com/24924964,2.07133319
POI17,제주곰집,705,4.14,제주특별자치도 서귀포시 강정동 2423-7,126.4935537,33.23578077,http://place.map.kakao.com/20631993,2.123351612
POI18,무상찻집,121,4.70,제주특별자치도 제주시 용담일동 2826,126.5143944,33.50100143,http://place.map.kakao.com/1575289135,2.459480654
POI18,수복강녕,226,4.66,제주특별자치도 제주시 연동 312-35,126.499364,33.488414,http://place.map.kakao.com/2076904700,1.146212743
POI18,충민정,618,4.58,제주특별자치도 제주시 용담일동 2818-2,126.5131419,33.5025193,http://place.map.kakao.com/1728065244,2.344745256
POI18,황궁쟁반탐라원,263,4.52,제주특별자치도 제주시 노형동 931,126.4830032,33.48536616,http://place.map.kakao.com/1410392512,1.546261665
POI18,용담밭담,257,4.47,제주특별자치도 제주시 용담2동 2631-1,126.5101469,33.50116954,http://place.map.kakao.com/727076726,1.994558962
POI18,만원의행복,178,4.47,제주특별자치도 제주시 연동 310-42,126.4977597,33.49195978,http://place.map.kakao.com/27376404,0.787476948
POI18,망고홀릭 제주본점,158,4.47,제주특별자치도 제주시 연동 271-40,126.4920048,33.49069573,http://place.map.kakao.com/26453267,0.641472933
POI18,어우늘,314,4.43,제주특별자치도 제주시 오라이동 3103-1,126.505001,33.48106882,http://place.map.kakao.com/7997989,2.071883132
POI18,마마무말가든,137,4.43,제주특별자치도 제주시 오라이동 779-1,126.5080628,33.47236079,http://place.map.kakao.com/234355435,2.913006642
POI18,오쿠다 제주,385,4.43,제주특별자치도 제주시 노형동 2664,126.4689059,33.48818623,http://place.map.kakao.com/760811662,2.760433711
POI18,스시우다,383,4.43,제주특별자치도 제주시 용담삼동 521-2,126.5064189,33.51570208,http://place.map.kakao.com/27324231,2.286679536
POI18,국시트멍,530,4.43,제주특별자치도 제주시 노형동 738-7,126.4813281,33.47937258,http://place.map.kakao.com/20151552,2.094439338
POI18,진영식당,262,4.42,제주특별자치도 제주시 용담이동 630-5,126.506055,33.50975807,http://place.map.kakao.com/13236090,1.886256157
POI18,그러므로part2,415,4.41,제주특별자치도 제주시 노형동 128,126.4859477,33.46849066,http://place.map.kakao.com/1569763514,2.794340606
POI18,바로족발보쌈,257,4.39,제주특별자치도 제주시 노형동 735-8,126.47936,33.47887928,http://place.map.kakao.com/24975923,2.265612111
POI18,용담생국수,105,4.39,제주특별자치도 제주시 용담2동 359-15,126.5129664,33.51193482,http://place.map.kakao.com/14575515,2.639748676
POI18,담아래,158,4.35,제주특별자치도 제주시 연동 1318-3,126.487314,33.46938168,http://place.map.kakao.com/48393154,2.678081083
POI18,포도원흑돼지,539,4.34,제주특별자치도 제주시 연동 996-3,126.4901839,33.46997505,http://place.map.kakao.com/1980271689,2.573683091
POI18,보스코화덕피자,339,4.34,제주특별자치도 제주시 연동 1315,126.4878591,33.46944615,http://place.map.kakao.com/1923949718,2.659923408
POI18,순희뽀글이,368,4.32,제주특별자치도 제주시 오라일동 2446-9,126.5172604,33.49767404,http://place.map.kakao.com/18717067,2.757771009
POI18,숙성도,989,4.30,제주특별자치도 제주시 노형동 941-2,126.485028,33.48503198,http://place.map.kakao.com/316010726,1.428067622
POI18,라지마할,485,4.29,제주특별자치도 제주시 연동 272-17,126.4902403,33.48826861,http://place.map.kakao.com/7857769,0.899076813
POI18,두루두루,304,4.28,제주특별자치도 제주시 연동 291-10,126.4943854,33.49043138,http://place.map.kakao.com/10282850,0.697682143
POI18,노조미 제주,268,4.26,제주특별자치도 제주시 연동 1501-15,126.4902528,33.47952321,http://place.map.kakao.com/259228710,1.693482905
POI18,메콩스카이,244,4.24,제주특별자치도 제주시 오라삼동 2912-7,126.502027,33.49011972,http://place.map.kakao.com/1292666072,1.269630119
POI18,수까락,138,4.24,제주특별자치도 제주시 용담이동 2621-9,126.5089313,33.50204468,http://place.map.kakao.com/26816179,1.877566119
POI18,칠돈가 본점,919,4.24,제주특별자치도 제주시 노형동 1112,126.4776045,33.49387257,http://place.map.kakao.com/931854339,1.687391779
POI18,브와두스,126,4.22,제주특별자치도 제주시 연동 1498-2,126.4902786,33.47880204,http://place.map.kakao.com/25771881,1.75929279
POI18,넉둥베기 고사리육개장,106,4.22,제주특별자치도 제주시 용담일동 306-5,126.5126165,33.50984537,http://place.map.kakao.com/455216502,2.512892049
POI18,시골길,500,4.20,제주특별자치도 제주시 연동 292-36,126.4947694,33.48878844,http://place.map.kakao.com/12435417,0.855813136
POI18,짬뽕에취한날,590,4.19,제주특별자치도 제주시 연동 311-21,126.4978244,33.49118828,http://place.map.kakao.com/24506094,0.841724837
POI18,만선바다,188,4.18,제주특별자치도 제주시 연동 260-31,126.4892948,33.49097671,http://place.map.kakao.com/9762089,0.707181012
POI18,도두해녀의집,1020,4.18,제주특별자치도 제주시 도두일동 2587-4,126.4666285,33.50617758,http://place.map.kakao.com/8894680,2.980534891
POI18,김서방재첩해장국,750,4.18,제주특별자치도 제주시 노형동 934-16,126.4829511,33.48362947,http://place.map.kakao.com/8239305,1.671609089
POI18,태을갈비,218,4.17,제주특별자치도 제주시 노형동 747-6,126.4793529,33.47791634,http://place.map.kakao.com/8566371,2.335220321
POI18,우림일식,112,4.16,제주특별자치도 제주시 노형동 905-14,126.4825846,33.48735693,http://place.map.kakao.com/8028947,1.451354417
POI18,길벗식당,151,4.15,제주특별자치도 제주시 노형동 1020-2,126.4749549,33.49250899,http://place.map.kakao.com/10210425,2.002654708
POI18,용꽈배기 신제주점,117,4.15,제주특별자치도 제주시 노형동 2594-6,126.4716094,33.48170633,http://place.map.kakao.com/554201872,2.746841561
POI18,김명자굴국밥 제주본점,300,4.14,제주특별자치도 제주시 연동 456,126.4994101,33.48190107,http://place.map.kakao.com/9672357,1.647614306
POI18,연동마라도횟집,834,4.14,제주특별자치도 제주시 연동 262-10,126.4894611,33.48684449,http://place.map.kakao.com/27454594,1.050909991
POI18,돌카롱 제주,456,4.13,제주특별자치도 제주시 오라일동 2444-23,126.5136475,33.49851101,http://place.map.kakao.com/1882938064,2.357563789
POI18,올래국수 본점,1020,4.10,제주특별자치도 제주시 연동 301-19,126.4972672,33.49152862,http://place.map.kakao.com/1387964178,0.775840297
POI18,돼지촌,152,4.09,제주특별자치도 제주시 노형동 934-1,126.4833889,33.48381883,http://place.map.kakao.com/10285047,1.627429815
POI18,앞뱅디식당,622,4.09,제주특별자치도 제주시 연동 324-1,126.4999068,33.48532913,http://place.map.kakao.com/10591316,1.406745351
POI18,귀빈반점,154,4.09,제주특별자치도 제주시 노형동 755-4,126.4775501,33.47713339,http://place.map.kakao.com/8809779,2.519523241
POI18,하멜 제주,248,4.08,제주특별자치도 제주시 노형동 3814-1,126.4761432,33.47850148,http://place.map.kakao.com/1342732172,2.534911817
POI18,현옥식당,300,4.08,제주특별자치도 제주시 오라일동 2445-2,126.5143287,33.49849926,http://place.map.kakao.com/9614773,2.433230187
POI18,광원,326,4.08,제주특별자치도 제주시 노형동 75-1,126.4847763,33.47264846,http://place.map.kakao.com/14850868,2.465956868
POI18,이노우에스시,105,4.07,제주특별자치도 제주시 연동 1413-7,126.4914156,33.47717663,http://place.map.kakao.com/9329591,1.89680812
POI18,딤섬9898,219,4.06,제주특별자치도 제주시 노형동 3782-8,126.4789392,33.48393183,http://place.map.kakao.com/24944809,1.965893608
